,,ТИП,ПРОДУКТ,ПРОГРАММА,"Стоимость продукта

*только для продуктов с фиксированной стоимостью",ВАЛЮТА,ПОСТАВЩИК,% DS,Свойство,Срок Контракта,Год выплаты КВ,Баллы,МЕТОДИКА РАСЧЕТА БАЛЛОВ,Комментарии,Категория
,,3,4,5,6,7,8,9,,,,13,14,15,16
,,,,,,,,,,,,,,,
"
",,UNIT LINKED (инвестиции в страховой оболочке),,,,,,,,,,,,,
"
",,,,,"Пример расчета: Клиент открыл контракт Investor Trust Evolution, программа EVO 25 с ежемесячным пополнением 500 $, курс доллара для расчет 95 р. 

1 год - с каждого ежемесячного взноса начисляется 500 * 95/100 * 0,775 = 368 баллов
2 год - с каждого ежемесячного взноса начисляется 500 * 95/100 * 0,1225 = 58 баллов
3 год - с каждого ежемесячного взноса начисляется 500 * 95/100 * 0,105 = 50 баллов
4 год - с каждого ежемесячного взноса начисляется 500 * 95/100 * 0,056 = 27 баллов
5 год - с каждого ежемесячного взноса начисляется 500 * 95/100 * 0,032 = 15 баллов
",,,,,,,,,,
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"77,50%",,25,1 год,,"Сумма оплаты клиента*курс валюты/100*0,775",,Страховая оболочка
,,Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"12,25%",,25,2 год,,"Сумма оплаты клиента*курс валюты/100*0,1225",,Страховая оболочка
,,Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"10,50%",,25,3 год,,"Сумма оплаты клиента*курс валюты/100*0,105",,Страховая оболочка
,,Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"5,60%",,25,4 год,,"Сумма оплаты клиента*курс валюты/100*0,056",,Страховая оболочка
,,Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"3,20%",,25,5 год,,"Сумма оплаты клиента*курс валюты/100*0,032",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"67,50%",,20,1 год,,"Сумма оплаты клиента*курс валюты/100*0,675",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"7,00%",,20,2 год,,"Сумма оплаты клиента*курс валюты/100*0,07",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"6,50%",,20,3 год,,"Сумма оплаты клиента*курс валюты/100*0,065",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"3,00%",,20,4 год,,"Сумма оплаты клиента*курс валюты/100*0,03",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,00%",,20,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"47,50%",,15,1 год,,"Сумма оплаты клиента*курс валюты/100*0,475",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"6,00%",,15,2 год,,"Сумма оплаты клиента*курс валюты/100*0,06",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"5,50%",,15,3 год,,"Сумма оплаты клиента*курс валюты/100*0,055",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,80%",,15,4 год,,"Сумма оплаты клиента*курс валюты/100*0,028",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,00%",,15,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"29,50%",,10,1 год,,"Сумма оплаты клиента*курс валюты/100*0,295",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"5,75%",,10,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0575",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"5,00%",,10,3 год,,"Сумма оплаты клиента*курс валюты/100*0,05",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,20%",,10,4 год,,"Сумма оплаты клиента*курс валюты/100*0,022",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"2,00%",,10,5 год,,"Сумма оплаты клиента*курс валюты/100*0,02",,Страховая оболочка
"
","продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"15,50%",,5,1 год,,"Сумма оплаты клиента*курс валюты/100*0,155",,Страховая оболочка
,"продукт оставлем, обучение только в базе знаний, никак не пиарим ",Регулярные взносы + страховая оболочка,Investor Trust Evolution,EVO,,USD,ITA,"4,75%",,5,2 год,,"Сумма оплаты клиента*курс валюты/100*0,0475",,Страховая оболочка
